Source,Target,Weight
Satoh TK,Thielert M,1
Kimura H,Satoh TK,1
Satoh TK,Silke N,1
Rodriguez EH,Satoh TK,1
Restivo G,Satoh TK,1
Nguyen HH,Satoh TK,1
Gross A,Satoh TK,1
Feldmeyer L,Satoh TK,1
Joerg L,Satoh TK,1
Levesque MP,Satoh TK,1
Murray PJ,Satoh TK,1
Ingen-Housz-Oro S,Satoh TK,1
Mund A,Satoh TK,1
Abe R,Satoh TK,1
Satoh TK,Silke J,1
Ji C,Satoh TK,2
French LE,Satoh TK,1
Mann M,Satoh TK,1
Anzengruber F,Strauss MT,1
Anzengruber F,Tanzer MC,1
Anzengruber F,Saito Y,1
Anzengruber F,Gong T,1
Anzengruber F,Thielert M,1
Anzengruber F,Kimura H,1
Anzengruber F,Silke N,1
Anzengruber F,Rodriguez EH,1
Anzengruber F,Restivo G,1
Anzengruber F,Nguyen HH,1
Anzengruber F,Gross A,1
Anzengruber F,Feldmeyer L,1
Anzengruber F,Joerg L,1
Anzengruber F,Levesque MP,1
Anzengruber F,Murray PJ,1
Anzengruber F,Ingen-Housz-Oro S,1
Anzengruber F,Mund A,1
Abe R,Anzengruber F,1
Anzengruber F,Silke J,1
Anzengruber F,Ji C,2
Anzengruber F,French LE,1
Anzengruber F,Mann M,1
Strauss MT,Tanzer MC,1
Saito Y,Strauss MT,1
Gong T,Strauss MT,1
Kimura H,Strauss MT,1
Silke N,Strauss MT,1
Rodriguez EH,Strauss MT,1
Restivo G,Strauss MT,1
Nguyen HH,Strauss MT,1
Gross A,Strauss MT,1
Feldmeyer L,Strauss MT,1
Joerg L,Strauss MT,1
Levesque MP,Strauss MT,1
Murray PJ,Strauss MT,1
Ingen-Housz-Oro S,Strauss MT,1
Abe R,Strauss MT,1
Silke J,Strauss MT,1
Ji C,Strauss MT,2
French LE,Strauss MT,1
Saito Y,Tanzer MC,1
Gong T,Tanzer MC,1
Tanzer MC,Thielert M,1
Kimura H,Tanzer MC,1
Silke N,Tanzer MC,1
Rodriguez EH,Tanzer MC,1
Restivo G,Tanzer MC,1
